Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Precipitation (mm/yr)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.14000E+04					6.50000E-01	6.50000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.94000E+04					6.50000E-01	6.50000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.36000E+04					6.80000E-01	6.80000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.41000E+04					6.80000E-01	6.80000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.42000E+04					7.00000E-01	7.00000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.90000E+04					7.00000E-01	7.00000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.59000E+04					7.00000E-01	7.00000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.39000E+04					7.10000E-01	7.10000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.71000E+04					7.20000E-01	7.20000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.71000E+04					7.30000E-01	7.30000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.61000E+04					7.30000E-01	7.30000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.40000E+04					7.40000E-01	7.40000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.85000E+04					7.90000E-01	7.90000E-01		
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Unknown glacier in Arena Valley	Antarctica	-77.90000	160.92000		156.50000	33.23461	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	4.30000E+06					4.90000E-05	4.60000E-05	5.20000E-05	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Beardmore glacier	Antarctica	-77.54999	160.08970		101.50000	24.21150	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	3.80000E+06					6.20000E-05	5.60000E-05	6.80000E-05	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Unknown glacier in Arena Valley	Antarctica	-77.90000	160.92000		156.50000	33.23461	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	3.60000E+06					7.20000E-05	6.80000E-05	7.60000E-05	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Side lobe of the Taylor Glacier in Arena Valley	Antarctica	-77.85000	160.92000		136.10000	33.09785	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	3.50000E+06					7.30000E-05	6.80000E-05	7.80000E-05	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Side lobe of the Taylor Glacier in Arena Valley	Antarctica	-77.85000	160.92000		136.10000	33.09785	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	2.70000E+06					1.19000E-04	1.11000E-04	1.27000E-04	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Beardmore glacier	Antarctica	-77.54999	160.08970		101.50000	24.21150	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	2.60000E+06					1.32000E-04	1.24000E-04	1.40000E-04	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Side lobe of the Taylor Glacier in Arena Valley	Antarctica	-77.85000	160.92000		136.10000	33.09785	Dry Valleys	basalt, volc, ign,	Cosmogenic surface	1.00000E-08	1.60000E+06					2.69000E-04	2.52000E-04	2.86000E-04	Time interval is exposure age
This study	Colgan et al., 2002	10.1130/0016-7606(2002)114<1581:VIGENT>2.0.CO;2	Wisconsin, USA	Laurentide Ice Sheet	Laurentide	43.78440	-88.78790		862.10000	7.61119	Continental	sed,	Cosmogenic surface	1.00000E-08	1.40000E+04					1.30000E-01	1.00000E-02	2.50000E-01	10Be & 26Al cosmo; reported minimum-limiting glacial erosion rates
This study	Collins, 1996		Hunza basin, Karakoram, Pakistan Himalaya	Batura Glacier	Central Asia	36.56961	74.61982		316.00000	511.05128	Alpine	#N/A	Volumetric	3.65000E+02	1.00000E+00					3.00556E+00	2.25407E+00	3.75704E+00	Minimum assums erosion equally distributed across catchment, maximum assumes all erosion is sub-glacial
This study	Collins, 1998		Hunza basin, Karakoram, Pakistan Himalaya	Batura Glacier	Central Asia	36.56961	74.61982		316.00000	511.05128	Alpine	#N/A	Volumetric	3.65000E+02	1.00000E+00					3.83000E+00	3.45000E+00	4.21000E+00	glacial abrasion rate (mm/yr)
This study	Corbett et al., 2019	10.1016/j.quascirev.2018.12.014	Mt. Mansfield, Vermont	Laurentide Ice Sheet	Laurentide	44.54366	-72.83489		1642.70000	152.95245	Continental	siliciclast, shale, carb, sed,	Cosmogenic surface	1.00000E-08	2.00000E+04		2.00000E+00			1.00000E-01			
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	1.55593E+03	3.40000E+01	1.11000E-03				2.42556E-02			basin 9
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	7.43040E+02	1.30000E+01	1.45000E-03				2.53688E-02			basin 5
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	2.49460E+03	1.40000E+01	4.62000E-03				2.59280E-02			basin 10
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	2.58210E+02	1.15000E+01	1.30000E-03				5.78986E-02			basin 1; total sed flux: 1.3 × 10^6 m3/yr to 4.6 × 10^7 m3/yr for all basins
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	4.41030E+02	1.80000E+01	2.01000E-03				8.20352E-02			basin 3
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	7.57660E+02	1.50000E+01	4.45000E-03				8.81002E-02			basin 7
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	7.51270E+02	1.60000E+01	5.62000E-03				1.19691E-01			basin 6
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	6.47510E+02	1.80000E+01	6.22000E-03				1.72909E-01			basin 4
This study	Cowan et al., 2010	10.1130/B26595.1	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	4.34020E+02	1.85000E+01	6.16000E-03				2.62569E-01			basin 2
This study	Cowton et al., 2012	10.1130/G32687.1	Kangerlussuaq Fjord	Kangerlussuaq	Greenland	67.01100	-50.72000		241.20000	65.82432	Continental	granite, ign, met,	Volumetric	5.00000E+04	1.20000E+04					3.00000E-01			Updates & should arguably replace Andrews et al., 1994 value
This study	Cowton et al., 2012	10.1130/G32687.1	Qeqqata	Leverett Glacier	Greenland	79.70670	21.61830		307.80000	70.21321	Continental	siliciclast, shale, carb, sed,	Volumetric	6.00000E+02	2.00000E+00					1.00000E+00	5.00000E-01	1.50000E+00	
This study	Cox et al., 2010	10.1029/2010GL045106	East Antarctica	Gamburtsev Mountains	Antarctica	-80.50000	76.00000		29.20000	2.41480	Continental		Thermochronometric	2.00000E+05	2.50000E+08					1.50000E-02	1.00000E-02	2.00000E-02	
This study	Cuffey et al., 2000	10.1130/0091-7613(2000)28<351:EACGB>2.0.CO;2	Dry Valleys, East Antarctica	Meserve	Antarctica	-77.49563	162.35247		94.80000	43.10384	Dry Valleys	plut, ign,	Volumetric	1.00000E+01	2.00000E+03	2.00000E-08				1.95000E-03	9.00000E-04	3.00000E-03	Measurements come from 20m long tunnel, and sliding rate of glacier  is 10mm/a so implied measurment duration of 20*1000/10 a
This study	Cuffey et al., 2022	10.1130/B36497.1	Yosemite, California	Tuolumne meadows	North American Cordillera	37.87077	-119.37766		1243.30000	180.31775	Alpine	plut, ign,	Thermochronometric	1.00000E+00	2.50000E+06		1.70000E+01	1.70000E+01	1.70000E+01	6.80000E-03	6.80000E-03	6.80000E-03	Exhumation depths read off of Figure 7c and 7d with plot digitizer, corresponding to "best performing" t-T paths at 35 and 50 C/km geotherms
This study	Cuffey et al., 2022	10.1130/B36497.1	Yosemite, California	Tenaya canyon	North American Cordillera	37.74215	-119.57548		976.30000	225.85168	Alpine	#N/A	Thermochronometric	1.00000E+00	2.50000E+06		6.67500E+02	5.15000E+02	8.20000E+02	2.67000E-01	2.06000E-01	3.28000E-01	Exhumation depths read off of Figure 7c and 7d with plot digitizer, corresponding to "best performing" t-T paths at 35 and 50 C/km geotherms
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		1076.90000	382.80513	Alpine	ign, met,	Cosmogenic surface	1.00000E-08	1.80000E+03					4.00000E-01			> 0.4 mm/yr
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		1076.90000	382.80513	Alpine	ign, met,	Cosmogenic surface	1.00000E-08	4.00000E+03					5.00000E-01			> 0.5 mm/yr
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		1076.90000	382.80513	Alpine	ign, met,	Relief		1.05000E+05					1.80000E+00			
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		1076.90000	382.80513	Alpine	ign, met,	Relief		8.00000E+04					2.50000E+00			
This study	Davis et al., 2017	10.3189/172756499781821805	Baffin Island, Canada	Tumbling Glacier	Laurentide	70.94890	-71.15740		512.10000	239.30049	High-latitude	met,	Cosmogenic surface	1.00000E-08	5.45000E+03					1.00000E-01	7.00000E-02	1.30000E-01	
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	unnamed	Alps	42.77139	0.13895		1744.10000	378.33527	Alpine	sed,	Volumetric	1.78400E+01	8.50000E+03					1.80000E-01			
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	unnamed	Alps	42.77139	0.13895		1744.10000	378.33527	Alpine	sed,	Volumetric	1.78400E+01	8.50000E+03					2.70000E-01			
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	unnamed	Alps	42.77139	0.13895		1744.10000	378.33527	Alpine	sed,	Volumetric	1.78400E+01	8.50000E+03					3.40000E-01			
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	unnamed	Alps	42.77139	0.13895		1744.10000	378.33527	Alpine	sed,	Volumetric	9.05600E+01	2.00000E+03					6.13000E-01			
This study	Densmore et al., 2007	10.1029/2006GL028371	Southern Coast Mountains, British Columbia	unnamed	North American Cordillera	50.79185	-124.00293		2485.60000	422.06227	Alpine	plut, ign,	Thermochronometric	1.00000E+00	6.00000E+06					8.00000E-01			Since early Pliocene
This study	Dowdeswell et al., 2010	10.1016/j.quascirev.2010.06.002	Mid-Norwegian Margin	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		597.60000	20.16121	Continental		Volumetric	1.60000E+05	2.70000E+06		5.24000E+02			1.90000E-01			
This study	Dühnforth et al., 2010	10.1130/G30576.1	Yosemite, California	Tuolumne meadows	North American Cordillera	37.87077	-119.37766		1243.30000	180.31775	Alpine	plut, ign,	Cosmogenic surface	1.00000E-08	2.00000E+04		2.50000E+00	2.00000E+00	3.00000E+00	1.25000E-01	1.00000E-01	1.50000E-01	Somewhat unclear what duration of erosion is, but average 10Be exposure age is about 20ka
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		2543.50000	377.60684	Alpine	sed, ign, met,	Thermochronometric	1.00000E+00	1.75000E+07					3.80000E-01			Thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		2543.50000	377.60684	Alpine	sed, ign, met,	Thermochronometric	1.00000E+00	2.00000E+07					3.80000E-01			Thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		2543.50000	377.60684	Alpine	sed, ign, met,	Thermochronometric	1.00000E+00	2.00000E+07					4.00000E-01			Thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		2543.50000	377.60684	Alpine	sed, ign, met,	Thermochronometric	1.00000E+00	1.00000E+07					5.70000E-01			Thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		2543.50000	377.60684	Alpine	sed, ign, met,	Thermochronometric	1.00000E+00	1.50000E+07					5.70000E-01			Thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		2543.50000	377.60684	Alpine	sed, ign, met,	Thermochronometric	1.00000E+00	1.00000E+07					7.60000E-01			Thermochron/thermal model inversions
This study	Elverhøi et al., 1998	10.1016/S0277-3791(97)00070-X	Svalbard margin	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		597.60000	20.16121	Continental		Volumetric	9.00000E+02	2.70000E+06					2.00000E-01			
This study	Fame et al., 2019	10.1016/j.geomorph.2019.106842	New Hampshire	Laurentide Ice Sheet	Laurentide	43.89452	-71.60311		1302.70000	132.87599	Continental	siliciclast, shale, carb, sed,	Cosmogenic surface	1.00000E-08	2.70000E+04					4.62963E-02	0.00000E+00	9.25926E-02	<2.5m over Late Wisconsin (27 ka)
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.66520E+02	1.25000E+04	1.20000E-04				4.40000E-01	2.80000E-01	6.00000E-01	medial basin only; rho_sed = 1700; sed flux reported in units of m3 rock / year
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.67500E+02	1.25000E+04					5.20000E-01	3.30000E-01	7.10000E-01	proximal + medial; rho_sed = 1700
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.66520E+02	3.64000E+02	7.10000E-04				2.66000E+00	1.73000E+00	3.59000E+00	medial basin only; rho_sed = 1600; sed flux reported in units of m3 rock / year
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.66500E+02	3.64000E+02					5.34000E+00	3.47000E+00	7.21000E+00	proximal + medial; rho_sed = 1600
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.66520E+02	1.00000E+02	6.20000E-03				2.31400E+01	1.15700E+01	3.47100E+01	medial basin only; rho_sed = 1800; sed flux reported in units of m3 rock / year
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.68500E+02	1.00000E+02					2.31400E+01	3.47100E+01	1.15700E+01	proximal + medial; rho_sed = 1800
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	1.97100E+02	4.50000E+01					2.93100E+01	1.84700E+01	4.01500E+01	proximal + medial; rho_sed = 1800
This study	Fernandez et al., 2016	10.1130/B31321.1	Lapeyrère Bay	Lapeyrère Bay	Antarctica	-64.87000	-63.06500		3378.10000	119.38517	Continental		Volumetric	2.50000E+02	1.05000E+04					2.00000E-02	1.70000E-02	2.30000E-02	
This study	Fernandez et al., 2016	10.1130/B31321.1	Antarctic Peninsula	Western Antarctic Peninsula average	Antarctica	-65.00000	-70.00000		724.70000	35.14420	Continental		Volumetric	9.25926E+04	4.20000E+06	8.33333E-03				9.00000E-02	6.00000E-02	1.20000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Andvord Bay	Andvord Bay	Antarctica	64.83333	62.65000		687.90000	14.86187	Continental	sed,	Volumetric	5.54000E+02	8.90000E+03					1.00000E-01	8.00000E-02	1.20000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Antarctic Peninsula	Western Antarctic Peninsula average	Antarctica	-65.00000	-70.00000		724.70000	35.14420	Continental		Volumetric	1.09718E+05	2.90000E+06	1.20690E-02				1.10000E-01	7.00000E-02	1.50000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Antarctic Peninsula	Western Antarctic Peninsula average	Antarctica	-65.00000	-70.00000		724.70000	35.14420	Continental		Volumetric	1.00694E+05	2.40000E+06	1.20833E-02				1.20000E-01	7.00000E-02	1.70000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Herbert Sound	Herbert Sound	Antarctica	-67.65000	-62.71670		400.70000	0.32039	Continental		Volumetric	3.84000E+02	8.63200E+03					1.20000E-01	1.10000E-01	1.30000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Magallanes Region, Chile	Europa Glacier	South American Cordillera	-50.25000	-74.20000		7857.10000	280.90921	Alpine		Volumetric	4.58000E+02	1.25000E+04					1.40000E-01	1.20000E-01	1.60000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Maxwell Bay	Maxwell Bay	Antarctica	-64.95000	-62.61670		3512.90000	139.43038	Continental	sed,	Volumetric	2.95000E+02	1.42600E+04					3.60000E-01	3.00000E-01	4.20000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Northern Patagonia	Gualas Glacier	South American Cordillera	-47.63580	-72.84250		2003.80000	337.58062	Alpine	met,	Volumetric	1.70000E+02	1.13000E+04					4.00000E-01	3.40000E-01	4.60000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Tierra del Fuego	Marinelli glacier	South American Cordillera	-54.53373	-69.57207		2581.70000	260.03047	Alpine tidewater	met,	Volumetric	2.67000E+02	1.25000E+04					4.00000E-01	3.40000E-01	4.60000E-01	
This study	Fernandez et al., 2016	10.1130/B31321.1	Patagonia	San Rafael glacier	South American Cordillera	-46.60710	-74.03770		4453.90000	40.38057	Alpine	sed,	Volumetric	7.24000E+02	1.28000E+04					8.30000E-01	7.20000E-01	9.40000E-01	
This study	Glasser and Hall, 1997	10.1016/S0169-555X(97)00005-6	Cairngorm Mountains, Scotland	Scottish Ice Sheet	British Isles	57.06140	-3.60606		1480.70000	160.64173	Continental	plut, ign,	Volumetric	2.76000E+03	2.30000E+06					2.10000E-02	1.50000E-02	2.70000E-02	Geomorphological reconstruction, glacial erosion but averaged over the entire quaternary. Total avg depth eroded 48 m +/- 14 m
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.37422	7.05711	1823	1474.50000	377.83851	Alpine	basalt, volc, ign,	Thermochronometric	1.00000E+00	1.00000E+06					1.20000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 206
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.45359	6.70162	1197	1254.40000	366.38327	Alpine	sed,	Thermochronometric	1.00000E+00	1.00000E+06					1.50000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 204
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.52829	6.78551	1487	1603.20000	374.76338	Alpine	sed,	Thermochronometric	1.00000E+00	1.00000E+06					1.60000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 200
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.52697	6.78726	1504	1603.20000	376.28340	Alpine	sed,	Thermochronometric	1.00000E+00	1.00000E+06					1.60000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 201
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	44.68100	6.69700	1050	925.20000	332.26853	Alpine	sed,	Thermochronometric	1.00000E+00	1.00000E+06					1.60000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample RD47
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	44.71900	6.76200	1200	1021.70000	346.96970	Alpine	sed,	Thermochronometric	1.00000E+00	1.00000E+06					1.70000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample RD48
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.45374	6.69739	1198	1227.70000	366.10796	Alpine	sed,	Thermochronometric	1.00000E+00	1.00000E+06					1.90000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 203
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	44.77800	6.86000	1440	940.90000	332.84942	Alpine	sed, basalt, volc, ign, met,	Thermochronometric	1.00000E+00	1.00000E+06					2.30000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample RD49
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.37422	7.05711	1823	1474.50000	377.83851	Alpine	basalt, volc, ign,	Cosmogenic detrital	5.10000E+01	1.00000E+03					2.70000E-01	3.50000E-01	1.90000E-01	Sample CGP 206
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.41417	6.14452	788	1722.30000	315.18893	Alpine	met,	Thermochronometric	1.00000E+00	1.00000E+06					3.30000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 210
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.38345	6.09737	615	1653.10000	298.88799	Alpine	met,	Thermochronometric	1.00000E+00	1.00000E+06					3.60000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 211
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.39033	6.25483	527	1563.90000	375.14305	Alpine	met,	Thermochronometric	1.00000E+00	1.00000E+06					5.40000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 208
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	unnamed	Alps	45.54870	6.46620	432	1289.20000	378.31309	Alpine	met,	Thermochronometric	1.00000E+00	1.00000E+06					6.50000E-01			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 202
